1969,1069,2307,1018,1476,1889,
1930,1103,2306,1008,1420,1783,
1853,1103,2312,980,1457,1674,
1801,1082,2313,969,1457,1650,
1792,1068,2310,962,1492,1689,
1846,1074,2310,958,1481,1741,
1866,1072,2308,971,1471,1769,
1864,1072,2307,1019,1494,1766,
1830,1053,2310,997,1531,1758,
1805,1023,2308,973,1599,1801,
1835,1011,2308,976,1653,1872,
1932,1023,2298,986,1599,1948,
1973,1069,2307,1007,1481,1883,
1931,1104,2308,960,1420,1779,
1853,1102,2314,969,1409,1816,
1798,1081,2314,965,1457,1646,
1792,1066,2310,957,1490,1689,
1856,1075,2309,987,1479,1741,
1880,1071,2308,1011,1470,1768,
1866,1071,2309,977,1492,1764,
1835,1055,2308,985,1530,1767,
1812,1023,2308,985,1599,1798,
1845,1009,2308,980,1654,1874,
1940,1019,2306,994,1584,1929,
1977,1068,2308,1017,1472,1888,
1922,1111,2309,1003,1420,1780,
1858,1103,2311,1005,1409,1674,
1801,1082,2311,980,1452,1649,
1798,1066,2309,993,1489,1689,
1858,1073,2310,984,1479,1741,
1887,1070,2308,990,1471,1770,
1870,1072,2308,989,1493,1765,
1835,1053,2310,997,1532,1758,
1804,1022,2309,978,1596,1796,
1841,1008,2307,985,1655,1875,
1936,1023,2306,1023,1599,1929,
1973,1070,2307,1015,1472,1890,
1930,1105,2308,1013,1418,1780,
1856,1100,2311,1011,1409,1685,
1798,1078,2313,968,1460,1643,
1799,1066,2318,966,1490,1689,
1859,1072,2309,967,1480,1741,
1887,1109,2309,991,1470,1767,
1870,1073,2308,978,1492,1765,
1832,1050,2310,993,1524,1758,
1805,1020,2308,970,1577,1792,
1841,1005,2310,979,1646,1872,
1931,1023,2306,993,1600,1930,
1968,1069,2307,1015,1459,1887,
1932,1103,2310,1027,1421,1779,
1856,1100,2310,1009,1408,1620,
1818,1081,2312,969,1447,1645,
1796,1066,2310,981,1488,1683,
1858,1071,2308,976,1483,1741,
1885,1072,2308,993,1480,1766,
1870,1073,2308,976,1493,1759,
1833,1050,2309,990,1530,1759,
1803,1021,2308,962,1593,1793,
1840,1019,2307,988,1646,1874,
1934,1023,2314,980,1592,1929,
1970,1068,2306,1004,1471,1885,
1932,1102,2308,1007,1423,1778,
1853,1096,2310,1005,1408,1672,
1797,1079,2311,976,1455,1646,
1797,1068,2310,973,1488,1689,
1857,1070,2306,959,1469,1741,
1889,1070,2310,982,1471,1767,
1870,1072,2308,989,1484,1762,
1834,1050,2308,1014,1524,1754,
1804,1021,2308,985,1595,1795,
1838,1007,2307,990,1654,1868,
1933,1021,2306,993,1599,1922,
1968,1066,2307,1027,1476,1885,
1936,1105,2309,1007,1421,1778,
1854,1084,2310,993,1413,1672,
1714,1065,2310,967,1454,1643,
1797,1065,2310,982,1492,1689,
1858,1063,2308,980,1477,1740,
1883,1069,2308,977,1472,1766,
1870,1075,2308,968,1488,1759,
1832,1049,2308,986,1532,1761,
1804,1022,2308,966,1596,1796,
1838,1007,2307,979,1654,1870,
1936,1023,2306,976,1598,1931,
1967,1066,2308,1003,1479,1885,
1927,1096,2308,995,1418,1777,
1854,1103,2310,998,1408,1671,
1797,1087,2309,966,1452,1643,
1796,1065,2307,966,1490,1689,
1858,1069,2309,958,1481,1741,
1882,1061,2310,992,1471,1767,
1870,1056,2311,985,1492,1762,
1833,1045,2308,975,1534,1755,
1801,1020,2311,979,1586,1800,
1838,1005,2307,1005,1648,1871,
1935,1011,2306,1029,1598,1933,
1969,1081,2307,1065,1474,1869,
1930,1104,2308,1043,1419,1771,
1853,1100,2310,1029,1411,1661,
1796,1078,2308,1019,1452,1636,
1795,1067,2309,1023,1491,1674,
1858,1070,2308,1011,1479,1741,
1882,1070,2310,1045,1475,1766,
1870,1072,2307,1020,1487,1766,
1833,1053,2308,1032,1530,1756,
1805,1023,2308,1016,1598,1799,
1837,1011,2306,1024,1648,1870,
1933,1021,2306,1029,1597,1926,
1965,1068,2308,1092,1470,1882,
1929,1101,2308,1065,1429,1777,
1853,1098,2309,1066,1408,1665,
1796,1081,2310,1019,1452,1646,
1793,1065,2310,998,1491,1684,
1858,1072,2307,985,1478,1732,
1882,1070,2308,982,1472,1770,
1869,1075,2308,967,1491,1761,
1833,1051,2309,954,1533,1777,
1805,1021,2308,950,1598,1797,
1844,1006,2307,960,1649,1874,
1935,1022,2306,980,1599,1931,
1968,1069,2306,1006,1476,1891,
1927,1105,2308,1007,1419,1778,
1855,1098,2397,990,1409,1672,
1798,1081,2231,972,1451,1650,
1794,1066,2312,985,1494,1687,
1858,1071,2308,974,1478,1741,
1883,1070,2308,987,1451,1530,
1869,1071,2308,980,1484,1758,
1829,1052,2308,975,1530,1754,
1805,1021,2307,965,1598,1797,
1839,1007,2306,978,1646,1870,
1934,1023,2293,990,1599,1926,
1965,1069,2306,1027,1472,1884,
1928,1102,2307,1019,1419,1778,
1853,1101,2308,1006,1407,1663,
1798,1081,2312,976,1452,1646,
1792,1065,2309,967,1490,1682,
1858,1083,2308,977,1480,1741,
1882,1070,2306,1015,1471,1766,
1870,1072,2321,988,1490,1759,
1832,1055,2308,980,1530,1754,
1804,1021,2323,967,1596,1799,
1838,1007,2279,971,1646,1866,
1931,1020,2306,986,1590,1046,
1968,1069,2301,1010,1473,1827,
1925,1102,2307,1018,1419,1775,
1853,1101,2309,1005,1368,1667,
1795,1079,2308,995,1453,1658,
1794,1063,2307,998,1488,1687,
1855,1072,2304,981,1477,1740,
1882,1070,2309,991,1471,1783,
1867,1070,2308,980,1492,1759,
1822,1052,2308,995,1529,1754,
1804,1019,2308,967,1596,1796,
1839,1008,2307,978,1645,1870,
1929,1021,2307,1008,1598,1924,
1968,1066,2306,1032,1465,1882,
1927,1101,2304,1039,1419,1776,
1831,1100,2314,1042,1409,1669,
1797,1078,2308,1019,1457,1646,
1794,1066,2322,1018,1488,1687,
1857,1072,2323,1021,1479,1740,
1884,1070,2310,1032,1469,1765,
1868,1072,2308,1023,1491,1758,
1832,1052,2308,1011,1530,1754,
1804,1023,2307,976,1593,1794,
1838,998,2306,980,1638,1870,
1932,1024,2297,989,1597,1924,
1970,1065,2308,911,1476,1883,
1928,1102,2310,953,1424,1777,
1849,1099,2310,962,1407,1668,
1796,1078,2310,968,1451,1646,
1794,1065,2308,965,1490,1685,
1856,1070,2308,985,1480,1729,
1883,1070,2498,998,1469,1766,
1867,1072,2308,985,1492,1761,
1832,1050,2306,988,1531,1766,
1804,1020,2306,965,1594,1792,
1839,1007,2306,973,1646,1870,
1930,1024,2302,981,1596,1921,
1969,1066,2307,1014,1474,1882,
1922,1102,2308,1006,1419,1775,
1852,1096,2310,993,1408,1668,
1796,1083,2310,970,1453,1642,
1800,1063,2309,965,1488,1688,
1855,1066,2308,989,1482,1739,
1882,1072,2314,1007,1469,1765,
1870,1070,2307,1011,1492,1762,
1831,1052,2308,1019,1541,1754,
1803,1024,2308,985,1592,1792,
1840,1006,2305,990,1646,1870,
1929,1022,2301,995,1590,1924,
1964,1065,2304,1031,1473,1882,
1928,1102,2308,984,1417,1774,
1850,1098,2308,989,1411,1667,
1795,1081,2310,967,1450,1638,
1799,1062,2308,965,1488,1687,
1853,1071,2308,967,1478,1738,
1880,1070,2308,984,1467,1766,
1869,1069,2310,986,1494,1758,
1830,1049,2308,989,1530,1756,
1803,1021,2306,980,1591,1792,
1837,1007,2304,1001,1646,1870,
1932,1023,2303,1003,1595,1924,
1964,1068,2304,1018,1471,1880,
1928,1100,2311,1018,1443,1774,
1849,1098,2308,1003,1408,1668,
1795,1077,2307,967,1453,1640,
1793,1063,2308,968,1488,1694,
1854,1070,2308,973,1478,1739,
1881,1070,2307,1006,1468,1764,
1867,1070,2308,999,1491,1762,
