2125,1077,2303,1114,946,2136,
2143,1189,2304,1130,814,2131,
2141,1289,2307,1155,747,2111,
2119,1301,2308,1148,744,2020,
2047,1231,2317,1152,786,1958,
1981,1178,2310,1124,829,2003,
1962,1172,2309,1122,839,2011,
1908,1142,2311,1085,852,1983,
1828,1089,2310,1060,902,1984,
1792,1032,2308,1040,986,2052,
1854,994,2306,1047,1061,2111,
2021,1005,2300,1063,1037,2129,
2124,1073,2299,1124,946,2136,
2143,1188,2302,1124,813,2130,
2140,1285,2307,1151,750,2111,
2117,1302,2308,1148,745,2022,
2048,1232,2339,1149,787,1957,
1982,1174,2308,1122,829,1999,
1961,1173,2310,1123,841,2011,
1901,1140,2312,1096,853,1983,
1798,1091,2312,1074,890,1986,
1792,1034,2308,1036,985,2053,
1857,994,2307,1039,1060,2107,
2022,995,2303,1074,1042,2128,
2127,1073,2305,1115,949,2138,
2146,1187,2304,1131,817,2130,
2142,1289,2306,1164,749,2111,
2117,1301,2308,1155,744,2015,
2046,1234,2309,1152,784,1959,
1981,1175,2309,1129,828,2003,
1960,1171,2320,1116,839,2012,
1908,1139,2310,1086,853,1982,
1832,1087,2309,1073,889,1984,
1792,1037,2308,1042,989,2053,
1856,994,2306,1044,1060,2107,
2020,1003,2299,1062,1037,2127,
2125,1073,2301,1108,946,2136,
2153,1187,2308,1138,814,2129,
2140,1291,2307,1156,748,2111,
2117,1301,2308,1147,745,2020,
2048,1234,2309,1160,787,1957,
1983,1175,2308,1123,824,2001,
1959,1171,2309,1120,841,2014,
1908,1148,2310,1089,853,1983,
1829,1089,2317,1070,890,1986,
1790,1032,2308,1032,984,2053,
1849,994,2306,1047,1061,2106,
2020,1015,2302,1069,1040,2127,
2124,1073,2299,1120,948,2136,
2142,1187,2300,1131,812,2128,
2140,1287,2304,1152,747,2107,
2117,1301,2308,1158,745,2020,
2048,1232,2309,1152,787,1958,
1995,1175,2308,1122,824,2002,
1960,1173,2308,1127,841,2014,
1903,1139,2310,1098,853,1991,
1830,1085,2310,1061,890,1986,
1806,1032,2308,1039,986,2055,
1867,993,2308,1076,1060,2107,
2016,1002,2306,1092,1040,2128,
2123,1072,2299,1121,946,2136,
2141,1250,2304,1144,813,2127,
2138,1285,2303,1163,748,2109,
2116,1301,2309,1148,745,2020,
2045,1234,2309,1154,787,1958,
1986,1179,2309,1122,829,2000,
1962,1173,2308,1098,840,2013,
1909,1143,2309,1079,853,1981,
1832,1088,2310,1068,890,1985,
1793,1032,2308,1029,980,2055,
1854,994,2308,1027,1058,2107,
2024,1005,2303,1065,1042,2127,
2127,1074,2301,1106,945,2138,
2140,1187,2302,1129,823,2127,
2146,1287,2306,1142,747,2107,
2110,1301,2308,1150,744,2021,
2039,1235,2310,1148,773,1941,
1980,1179,2309,1118,829,1939,
1961,1171,2308,1108,839,2013,
1921,1139,2310,1085,852,1973,
1833,1091,2310,1058,890,1986,
1792,1033,2308,1032,985,2055,
1856,994,2306,1041,1081,2106,
2024,1006,2302,1062,1037,2127,
2127,1076,2300,1107,945,2135,
2142,1188,2303,1125,812,2139,
2140,1287,2306,1148,746,2107,
2119,1299,2307,1152,745,2019,
2045,1233,2308,1148,787,1958,
1978,1185,2308,1123,829,2000,
1961,1172,2309,1122,840,2014,
1909,1142,2310,1071,853,1985,
1832,1085,2309,1052,890,1997,
1793,1035,2310,1033,990,2053,
1855,993,2306,1032,1065,2107,
2019,1003,2302,1052,1043,2127,
2127,1074,2297,1102,944,2138,
2142,1187,2302,1122,800,2128,
2140,1289,2306,1148,753,2107,
2119,1302,2309,1148,733,2026,
2050,1314,2308,1135,786,1956,
1973,1179,2308,1121,824,2002,
1961,1172,2310,1116,838,2010,
1910,1140,2309,1085,855,1985,
1832,1091,2310,1070,890,1986,
1795,1034,2309,1036,982,2055,
1857,993,2305,1040,1063,2107,
2024,1007,2300,1068,1039,2127,
2127,1075,2300,1100,950,2132,
2144,1189,2301,1122,817,2141,
2140,1288,2307,1156,749,2107,
2117,1301,2309,1152,739,2020,
2048,1225,2308,1140,782,1958,
1981,1178,2308,1117,824,2001,
1961,1169,2309,1109,841,2012,
1911,1140,2310,1086,847,1983,
1832,1088,2310,1071,890,1986,
1793,1032,2309,1031,973,2054,
1857,992,2307,1040,1060,2106,
2024,1001,2302,1065,1037,2127,
2123,1068,2300,1108,946,2136,
2143,1188,2301,1127,813,2128,
2140,1285,2305,1144,747,2107,
2117,1302,2308,1146,743,2017,
2048,1224,2309,1148,788,1956,
1981,1176,2309,1127,828,2003,
1962,1150,2310,1118,840,2014,
1910,1158,2310,1085,861,1985,
1832,1083,2310,1068,890,2002,
1794,1048,2308,1039,985,2053,
1856,994,2306,1047,1061,2107,
2024,1007,2303,1066,1039,2128,
2123,1074,2299,1113,949,2135,
2143,1192,2334,1130,814,2129,
2158,1285,2306,1151,748,2111,
2116,1301,2310,1150,745,2019,
2048,1237,2309,1143,787,1960,
1984,1177,2310,1120,829,2001,
1961,1166,2313,1114,845,2012,
1916,1144,2310,1063,857,1984,
1826,1089,2308,1019,895,1987,
1793,1034,2308,981,989,2053,
1856,990,2306,991,1059,2107,
2023,998,2301,1019,1044,2127,
2127,1073,2302,1059,946,2137,
2144,1179,2300,1071,816,2130,
2140,1262,2307,1104,748,2090,
2119,1301,2308,1083,745,2024,
2049,1235,2309,1082,786,1940,
1983,1177,2309,1055,830,1999,
1963,1173,2309,1044,842,2003,
1911,1139,2309,1023,854,1985,
1832,1090,2310,1011,891,1986,
1794,1034,2308,980,984,2055,
1857,994,2308,982,1061,2103,
2024,1014,2304,995,1043,2129,
2127,1076,2296,1052,954,2135,
2144,1187,2301,1066,816,2132,
2141,1287,2306,1083,749,2104,
2120,1302,2308,1085,745,2024,
2050,1235,2310,1097,787,1936,
1983,1178,2308,1055,824,2007,
1970,1171,2308,1050,841,2023,
1916,1144,2310,1027,855,1986,
1836,1091,2310,1021,890,1975,
1798,1036,2308,1010,988,2053,
1858,998,2308,1015,1059,2101,
2020,1002,2301,1048,1040,2127,
2127,1075,2299,1092,948,2138,
2144,1189,2300,1096,822,2127,
2142,1289,2306,1111,749,2109,
2119,1303,2308,1096,745,2023,
2049,1235,2308,1085,784,1956,
1983,1181,2308,1057,824,1999,
1963,1172,2308,1056,842,2015,
1912,1142,2309,1019,853,1984,
1833,1083,2318,1014,891,1990,
1795,1036,2310,978,987,2054,
1858,995,2306,987,1062,2107,
2024,1008,2301,1005,1040,2128,
2126,1076,2300,1067,948,2140,
2143,1189,2302,1074,817,2132,
2141,1289,2306,1096,749,2107,
