1971,1236,2310,1083,705,1633,
1920,1251,2310,1081,692,1584,
1874,1224,2314,1057,696,1586,
1839,1209,2313,1044,705,1559,
1842,1197,2314,1036,725,1555,
1799,1172,2311,1036,724,1550,
1776,1164,2310,1011,749,1586,
1779,1126,2312,1008,762,1639,
1844,1118,2308,1017,771,1737,
1914,1130,2308,1032,756,1754,
2011,1173,2310,1057,726,1739,
2010,1214,2308,1073,705,1690,
1973,1237,2309,1089,704,1634,
1930,1250,2310,1069,694,1585,
1874,1223,2314,1062,696,1585,
1844,1213,2313,1050,704,1559,
1845,1194,2315,1032,711,1553,
1797,1173,2312,1019,724,1560,
1777,1159,2310,1005,749,1586,
1779,1127,2310,1010,762,1638,
1844,1112,2308,1003,773,1726,
1914,1131,2308,1030,755,1754,
1973,1173,2308,1066,727,1738,
1990,1202,2308,1065,708,1700,
1973,1237,2308,1073,704,1633,
1918,1250,2310,1070,694,1597,
1874,1224,2310,1049,687,1586,
1838,1209,2314,1000,704,1560,
1843,1192,2411,993,712,1555,
1796,1177,2310,976,715,1549,
1770,1158,2013,967,639,1581,
1781,1124,2308,956,762,1638,
1840,1117,2308,963,774,1683,
1913,1134,2309,988,757,1750,
1973,1174,2296,997,728,1741,
1990,1210,2293,1024,708,1701,
1973,1237,2303,1016,706,1638,
1914,1248,2302,1030,693,1585,
1874,1224,2318,998,696,1586,
1835,1210,2313,988,704,1559,
1841,1192,2381,981,711,1552,
1796,1173,2312,965,723,1551,
1776,1160,2310,968,749,1586,
1779,1125,2309,957,761,1639,
1843,1118,2314,945,773,1725,
1914,1133,2309,982,761,1756,
1973,1039,2313,1034,735,1738,
1985,1210,2309,1044,707,1700,
1971,1233,2310,1023,705,1630,
2138,1250,2315,994,695,1584,
1874,1224,2314,998,696,1585,
1837,1205,2314,996,704,1558,
1842,1192,2315,988,712,1551,
1795,1168,2303,956,723,1550,
1775,1159,2306,954,750,1500,
1779,1126,2309,934,762,1639,
1843,1116,2308,953,771,1725,
1912,1127,2308,978,737,1752,
1970,1173,2309,1005,727,1738,
1994,1210,2308,1044,707,1700,
1972,1235,2308,1053,707,1630,
1917,1251,2314,1036,692,1586,
1871,1224,2312,1001,697,1584,
1837,1209,2311,993,699,1559,
1840,1191,2314,982,710,1540,
1796,1171,2310,960,723,1549,
1777,1160,2310,955,748,1588,
1777,1124,2310,949,761,1638,
1844,1118,2310,965,771,1725,
1908,1127,2309,978,756,1754,
1973,1175,2310,1002,728,1716,
1994,1208,2309,1019,705,1700,
1972,1235,2310,1020,702,1632,
1912,1251,2310,1019,688,1583,
