1858,1132,2264,1006,818,1656,
1828,1145,2267,1019,816,1601,
1779,1134,2267,991,815,1571,
1751,1123,2268,978,821,1548,
1716,1100,2268,967,848,1534,
1741,1089,2268,928,870,1530,
1663,1071,2268,928,890,1560,
1656,1044,2264,924,913,1620,
1708,1037,2260,908,924,1683,
1799,1044,2256,928,903,1758,
1854,1080,2265,942,887,1739,
1890,1123,2263,963,834,1698,
1862,1132,2265,944,812,1647,
1824,1139,2265,948,820,1604,
1785,1134,2267,941,838,1571,
1745,1122,2268,929,841,1551,
1715,1100,2268,915,849,1534,
1683,1087,2267,900,876,1529,
1662,1070,2268,895,868,1560,
1656,1044,2264,887,914,1620,
1711,1034,2264,891,929,1688,
1801,1044,2260,915,903,1745,
1856,1084,2262,933,869,1745,
1884,1123,2260,950,838,1693,
1866,1133,2264,961,812,1642,
1823,1139,2265,962,814,1609,
1784,1135,2269,953,812,1566,
1744,1122,2268,939,829,1546,
1716,1101,2269,926,853,1534,
1684,1084,2262,908,868,1530,
1662,1069,2267,911,890,1561,
1662,1044,2265,900,907,1623,
1715,1036,2260,921,925,1689,
1805,1045,2260,948,908,1746,
1857,1084,2261,974,853,1754,
1883,1123,2262,985,840,1691,
1871,1134,2265,978,812,1639,
1828,1139,2268,954,812,1606,
1787,1135,2265,945,817,1561,
1741,1119,2267,934,824,1543,
1715,1105,2268,920,846,1531,
1686,1085,2269,908,877,1530,
1664,1069,2268,895,895,1561,
1666,1044,2262,886,915,1624,
1715,1032,2260,899,929,1689,
1804,1032,2261,915,899,1746,
1857,1084,2260,934,868,1755,
1882,1134,2262,959,834,1680,
1870,1156,2265,967,816,1638,
1823,1140,2264,963,813,1604,
1787,1148,2267,947,813,1563,
1743,1123,2268,941,831,1543,
1710,1110,2268,919,852,1532,
1683,1083,2268,908,877,1532,
1663,1063,2267,891,891,1561,
1663,1036,2264,887,915,1626,
1716,1035,2262,892,928,1689,
1804,1044,2256,913,903,1748,
1857,1081,2260,940,870,1754,
1882,1127,2261,955,830,1689,
1869,1129,2256,965,814,1637,
1824,1148,2266,973,812,1604,
1790,1144,2268,954,816,1561,
1741,1115,2268,940,836,1543,
1712,1119,2268,919,849,1534,
1681,1085,2266,912,878,1533,
1663,1065,2269,895,898,1561,
1662,1032,2267,890,915,1625,
1716,1032,2262,895,933,1695,
1805,1035,2260,915,900,1730,
1858,1084,2261,939,866,1754,
1883,1124,2260,955,835,1666,
1869,1135,2265,963,816,1621,
1820,1173,2265,957,812,1588,
1785,1135,2264,954,816,1560,
1745,1121,2267,939,829,1551,
1708,1103,2265,919,853,1531,
1584,1091,2269,906,877,1530,
1664,1065,2268,890,894,1560,
1662,1040,2265,890,916,1621,
1720,1043,2262,902,933,1689,
1805,1044,2262,924,901,1745,
1858,1085,2266,949,866,1754,
1883,1123,2262,965,834,1692,
1868,1135,2264,967,816,1639,
1823,1142,2258,955,813,1604,
1791,1141,2268,967,838,1569,
1742,1122,2268,950,829,1547,
1712,1112,2264,928,851,1527,
1683,1083,2268,911,877,1537,
1664,1070,2265,878,895,1564,
1663,1040,2264,890,915,1624,
1716,1038,2264,899,931,1702,
1805,1049,2259,929,903,1750,
1857,1085,2265,941,869,1767,
1882,1122,2260,960,831,1700,
1870,1137,2262,967,816,1638,
1823,1145,2266,940,812,1604,
1789,1144,2266,936,816,1560,
1742,1121,2268,941,830,1547,
1712,1112,2268,921,852,1534,
1684,1083,2268,926,878,1534,
1666,1070,2268,917,892,1560,
1662,1042,2268,945,916,1625,
1716,1037,2264,924,932,1689,
1804,1070,2260,953,932,1754,
1857,1085,2260,978,868,1758,
1885,1123,2261,997,834,1690,
1870,1135,2262,1007,816,1780,
1822,1132,2266,1003,812,1604,
1791,1139,2267,993,817,1563,
1742,1122,2268,980,830,1546,
1714,1108,2267,965,851,1534,
1684,1085,2265,943,877,1531,
1663,1069,2264,931,899,1561,
1662,1044,2265,928,916,1625,
1716,1036,2262,932,930,1704,
1804,1047,2262,950,902,1750,
1858,1085,2259,974,868,1754,
1882,1123,2265,998,833,1693,
1870,1135,2264,1003,816,1638,
1823,1147,2268,998,812,1608,
1791,1139,2275,994,819,1563,
1745,1122,2259,980,824,1543,
1712,1110,2273,931,852,1535,
1684,1085,2265,946,877,1534,
1664,1069,2256,940,895,1564,
1663,1044,2267,928,919,1629,
1716,1034,2264,932,932,1690,
1805,1046,2261,967,900,1750,
1857,1085,2260,982,871,1758,
1883,1124,2262,973,834,1694,
1870,1135,2260,1007,816,1640,
1823,1139,2265,1002,812,1606,
1791,1139,2264,993,817,1568,
1745,1122,2265,978,829,1546,
1712,1107,2269,965,852,1534,
1685,1085,2265,957,878,1534,
1664,1069,2256,937,892,1563,
1662,1043,2269,928,916,1626,
1715,1036,2257,932,932,1689,
1804,1046,2261,952,903,1750,
1861,1085,2260,982,868,1758,
1887,1123,2260,995,834,1689,
1870,1135,2249,1014,816,1638,
1824,1137,2278,994,812,1603,
1791,1147,2257,993,816,1561,
1743,1122,2264,986,828,1544,
1711,1108,2268,967,851,1534,
1682,1083,2265,947,877,1534,
1664,1069,2269,915,892,1563,
1663,1043,2267,903,917,1627,
1716,1037,2264,899,931,1689,
1805,1047,2260,924,901,1751,
1858,1084,2264,940,869,1758,
1883,1124,2259,954,833,1692,
1870,1135,2262,980,816,1638,
1824,1142,2267,984,812,1604,
1791,1140,2268,976,817,1562,
1745,1122,2269,969,829,1546,
1712,1110,2266,962,852,1534,
1685,1085,2266,943,877,1534,
1668,1069,2268,931,894,1563,
1662,1043,2267,927,917,1627,
1715,1036,2261,931,932,1689,
1805,1046,2261,945,901,1751,
1857,1085,2261,978,868,1756,
1885,1126,2265,995,835,1692,
1870,1135,2266,1006,816,1638,
1817,1143,2264,1002,812,1604,
1787,1139,2268,993,820,1564,
1743,1123,2268,978,829,1546,
1712,1109,2268,955,851,1534,
1684,1083,2263,946,877,1534,
1665,1069,2267,936,894,1561,
1663,1044,2268,928,916,1626,
1717,1036,2261,930,933,1689,
