1560,993,2239,813,1165,1856,
1672,1010,2231,792,1117,1960,
1799,1048,2231,892,1045,1990,
1905,1108,2230,898,965,1976,
1953,1185,2236,982,897,1895,
1921,1251,2243,946,857,1762,
1833,1275,2242,985,839,1632,
1725,1265,2253,912,844,1521,
1577,1213,2249,915,873,1447,
1467,1130,2255,820,967,1434,
1433,1040,2248,838,1088,1530,
1480,1004,2244,779,1152,1679,
1559,993,2235,837,1168,1858,
1680,1015,2233,815,1116,1961,
1799,1047,2231,903,1046,1990,
1906,1110,2231,904,965,1977,
1953,1186,2233,984,895,1897,
1921,1250,2236,952,856,1762,
1830,1276,2256,993,841,1626,
1722,1267,2248,918,851,1521,
1578,1210,2255,919,877,1446,
1468,1125,2255,824,967,1436,
1431,1040,2247,842,1090,1530,
1481,1007,2248,784,1152,1687,
1552,994,2236,853,1162,1857,
1679,1007,2232,824,1115,1965,
1801,1049,2231,915,1044,1990,
1907,1111,2232,907,963,1973,
1953,1191,2231,988,894,1895,
1919,1232,2236,952,857,1761,
1827,1276,2244,989,842,1625,
1721,1264,2248,834,845,1521,
1573,1213,2252,864,877,1448,
1459,1123,2252,799,968,1435,
1434,1042,2248,823,1089,1527,
1479,1002,2242,774,1152,1689,
1560,994,2237,836,1160,1856,
1683,1013,2234,812,1114,1962,
1802,1053,2231,903,1044,1990,
1904,1111,2231,902,963,1974,
1951,1189,2236,981,895,1895,
1919,1245,2238,949,855,1758,
1830,1276,2245,986,841,1625,
1720,1268,2249,913,846,1520,
1574,1210,2252,915,877,1448,
1465,1123,2255,818,969,1437,
1435,1040,2247,870,1091,1528,
1484,1004,2241,823,1152,1696,
1562,994,2238,838,1160,1859,
1679,1017,2235,818,1115,1964,
1803,1047,2233,907,1044,1996,
1907,1115,2231,904,962,1973,
1949,1186,2233,982,894,1894,
1913,1250,2238,950,853,1754,
1826,1274,2241,1007,900,1625,
1717,1269,2251,936,852,1519,
1568,1207,2252,928,878,1445,
1462,1122,2252,835,971,1439,
1436,1040,2250,831,1095,1534,
1485,1004,2243,799,1153,1691,
1562,993,2236,850,1161,1862,
1681,1019,2233,823,1111,1964,
1798,1049,2233,926,1044,1994,
1912,1119,2233,921,959,1973,
1951,1188,2235,993,892,1888,
1914,1251,2239,950,847,1750,
1821,1272,2243,986,842,1620,
1715,1268,2249,915,846,1519,
1564,1205,2253,912,881,1445,
1462,1122,2251,817,975,1434,
1435,1036,2248,841,1107,1540,
1488,1004,2244,787,1155,1702,
1560,994,2233,846,1164,1866,
1687,1019,2232,824,1110,1962,
1805,1050,2231,911,1040,1993,
1906,1120,2231,911,958,1973,
1951,1189,2236,987,894,1887,
1924,1256,2239,949,852,1750,
1836,1276,2244,1007,847,1615,
1720,1268,2252,915,842,1516,
1560,1200,2249,915,881,1445,
1460,1121,2252,824,977,1442,
1443,1032,2248,841,1096,1534,
1490,1004,2242,786,1154,1700,
1568,996,2236,842,1169,1866,
1689,1019,2231,829,1111,1972,
1801,1047,2231,913,1037,1995,
1911,1120,2233,914,960,1974,
1949,1188,2235,989,892,1885,
1914,1252,2239,957,854,1745,
1819,1276,2244,993,839,1612,
1703,1264,2248,915,845,1510,
1560,1202,2255,914,882,1444,
1463,1119,2252,821,978,1443,
1442,1032,2246,838,1097,1535,
1491,1003,2239,786,1152,1703,
1576,1001,2238,845,1163,1867,
1702,1020,2231,824,1110,1973,
1792,1053,2231,911,1036,1991,
1912,1122,2233,897,961,1973,
1945,1188,2235,978,890,1882,
1921,1251,2239,965,855,1745,
1820,1276,2244,994,840,1612,
1702,1264,2248,915,844,1509,
1558,1199,2255,915,889,1444,
1461,1110,2253,836,980,1445,
1449,1030,2248,861,1096,1538,
1497,1007,2244,798,1160,1710,
1571,1002,2236,861,1159,1869,
1694,1021,2232,851,1113,1973,
1813,1056,2231,934,1037,1993,
1921,1122,2232,924,962,1981,
1954,1188,2235,995,887,1878,
1908,1251,2240,958,854,1742,
1824,1341,2245,990,838,1612,
1693,1264,2248,918,845,1509,
1560,1199,2254,916,889,1442,
1443,1108,2255,824,986,1447,
1445,1023,2247,838,1096,1537,
1496,1002,2241,786,1162,1712,
1578,1002,2235,844,1156,1873,
1690,1031,2233,824,1116,1973,
1816,1059,2232,915,1033,2011,
1916,1122,2233,911,969,1973,
1957,1192,2235,988,890,1874,
1885,1251,2238,950,850,1741,
1817,1276,2245,985,838,1610,
1691,1264,2246,911,849,1507,
1560,1198,2252,912,893,1442,
1465,1103,2252,820,960,1445,
1444,1027,2246,839,1095,1542,
1496,1002,2239,787,1162,1715,
1580,998,2238,843,1160,1882,
1697,1022,2233,829,1109,1973,
1818,1069,2231,915,1032,1994,
1920,1122,2231,915,957,1971,
1954,1189,2233,990,890,1872,
1924,1254,2243,955,850,1741,
1822,1276,2244,993,839,1609,
1689,1262,2252,911,845,1504,
1555,1199,2254,907,890,1440,
1459,1101,2249,816,990,1447,
1445,1027,2246,838,1103,1559,
1500,1002,2243,787,1162,1716,
