1340,1131,2207,732,705,1031,
1308,1120,2210,724,708,1031,
1298,1110,2210,727,711,1016,
1287,1096,2210,714,719,1019,
1282,1088,2210,708,721,1018,
1279,1078,2207,695,718,1020,
1279,1066,2208,708,722,1022,
1272,1060,2201,687,737,1032,
1234,1049,2206,700,741,1032,
1282,1052,2206,696,741,1043,
1282,1056,2191,700,766,1049,
1289,1047,2205,694,761,1045,
1280,1044,2206,709,760,1058,
1287,1063,2206,697,743,1070,
1289,1068,2207,695,761,1073,
1289,1036,2206,695,758,1087,
1301,1040,2206,708,766,1094,
1315,1034,2205,711,761,1096,
1329,1042,2205,724,760,1102,
1343,1046,2205,714,749,1104,
1355,1053,2205,733,753,1108,
1369,1063,2205,726,742,1113,
1376,1071,2204,744,737,1143,
1379,1089,2205,742,719,1095,
1383,1102,2205,741,717,1083,
1380,1118,2205,745,711,1074,
1382,1122,2206,749,713,1063,
1356,1123,2206,742,711,1053,
1355,1134,2206,749,704,1040,
1341,1129,2200,727,689,1030,
1313,1115,2212,731,708,1032,
1302,1108,2209,716,709,1019,
1285,1092,2210,713,728,1017,
1287,1092,2209,699,721,1017,
1284,1076,2210,704,735,1023,
1276,1063,2209,695,734,1027,
1276,1067,2206,707,744,1034,
1281,1055,2206,701,746,1036,
1279,1058,2205,700,750,1054,
1281,1053,2205,694,759,1050,
1289,1044,2205,699,758,1048,
1289,1048,2190,699,758,1062,
1288,1043,2206,702,766,1069,
1287,1054,2206,696,766,1075,
1292,1032,2205,709,763,1089,
1302,1058,2204,702,770,1095,
1312,1027,2205,708,762,1098,
1330,1040,2205,709,761,1106,
1346,1044,2204,731,728,1108,
1355,1052,2205,725,752,1110,
1368,1062,2204,737,739,1115,
1380,1078,2204,740,735,1096,
1384,1096,2205,757,730,1091,
1393,1107,2205,737,724,1083,
1380,1116,2206,741,715,1070,
1379,1117,2206,752,704,1061,
1365,1131,2205,745,697,1053,
1359,1127,2206,735,704,1042,
1342,1124,2206,737,709,1031,
1310,1123,2207,709,709,1027,
1302,1120,2206,727,716,1018,
1284,1110,2207,707,720,1007,
1285,1071,2208,709,721,1014,
1285,1085,2208,692,731,1027,
1277,1052,2209,704,735,1006,
1279,1070,2207,695,745,1032,
1279,1068,2206,708,753,1055,
1279,1056,2206,683,757,1046,
1289,1055,2206,694,761,1043,
1291,1047,2207,705,761,1032,
1285,1046,2205,701,761,1056,
1289,1044,2205,704,766,1071,
1291,1042,2205,709,765,1071,
1299,1034,2205,691,766,1087,
1303,1040,2205,709,769,1093,
1318,1044,2205,705,761,1101,
1333,1043,2204,713,758,1096,
1350,1046,2204,710,749,1108,
1359,1048,2204,735,745,1108,
1368,1065,2203,720,737,1119,
1377,1076,2204,744,736,1098,
1375,1094,2202,746,726,1091,
1393,1106,2205,741,717,1081,
1380,1119,2204,748,718,1065,
1372,1122,2205,756,709,1070,
1355,1134,2206,744,707,1053,
1354,1135,2206,740,705,1037,
1338,1127,2205,719,697,1052,
1311,1123,2207,727,709,1008,
1300,1110,2208,713,712,1032,
1285,1094,2206,712,720,1014,
1288,1083,2208,696,724,1019,
1281,1083,2207,709,729,1033,
1277,1060,2206,693,736,1029,
1276,1074,2206,695,746,1036,
1283,1056,2205,673,753,1044,
1281,1056,2207,694,753,1044,
1282,1050,2205,683,761,1048,
1288,1053,2205,686,729,1052,
1284,1045,2205,686,762,1069,
1288,1044,2205,694,765,1070,
1289,1040,2203,672,763,1073,
1293,1040,2205,694,765,1089,
1308,1040,2205,683,768,1096,
1317,1042,2203,704,761,1106,
1337,1036,2204,689,759,1098,
1351,1044,2204,711,749,1105,
1363,1055,2200,709,744,1107,
1369,1065,2202,721,736,1114,
1376,1082,2203,709,732,1096,
1380,1095,2202,730,724,1096,
1391,1105,2205,730,715,1089,
1380,1122,2205,744,716,1076,
1371,1122,2206,739,708,1067,
1355,1118,2210,745,704,1045,
1346,1131,2202,719,699,1034,
1339,1128,2205,735,705,1036,
1310,1123,2210,716,709,1027,
1301,1115,2210,724,683,1020,
1282,1094,2194,702,723,1017,
1278,1084,2206,710,724,1019,
1278,1075,2220,699,730,1023,
1275,1058,2205,705,736,1027,
1278,1058,2203,683,745,1036,
1289,1058,2207,705,755,1036,
1281,1044,2198,695,753,1044,
1281,1053,2205,704,761,1047,
1285,1046,2206,704,758,1053,
